"gbifid","species","decimallatitude","decimallongitude","taxonkey"
1098627432,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627433,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627434,"Pan troglodytes",-0.3281,30.007,"5219534"
1098627435,"Pan troglodytes",-0.4127,29.9846,"5219534"
1098627436,"Pan troglodytes",-0.3746,30.0297,"5219534"
1098627437,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627438,"Pan troglodytes",-0.3213,30.0291,"5219534"
1098627439,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627440,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627441,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627442,"Pan troglodytes",-0.3568,30.0294,"5219534"
1098627443,"Pan troglodytes",-0.3568,30.0294,"5219534"
1098627444,"Pan troglodytes",-0.3229,30.0293,"5219534"
1098627445,"Pan troglodytes",-0.3213,30.0291,"5219534"
1098627446,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627447,"Pan troglodytes",-0.3213,30.0291,"5219534"
1098627448,"Pan troglodytes",-0.3719,30.0294,"5219534"
1098627449,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627450,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627451,"Pan troglodytes",-0.4632,30.0298,"5219534"
1098627452,"Pan troglodytes",-0.4287,30.0291,"5219534"
1098627453,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627454,"Pan troglodytes",-0.3066,30.0523,"5219534"
1098627455,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627456,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627457,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627458,"Pan troglodytes",-0.3719,30.0294,"5219534"
1098627459,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627460,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627461,"Pan troglodytes",-0.4632,30.0298,"5219534"
1098627462,"Pan troglodytes",-0.4523,30.0295,"5219534"
1098627463,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627464,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627465,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627466,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627467,"Pan troglodytes",-0.3765,30.0296,"5219534"
1098627468,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627469,"Pan troglodytes",-0.3746,30.0297,"5219534"
1098627470,"Pan troglodytes",-0.3719,30.0294,"5219534"
1098627471,"Pan troglodytes",-0.4632,30.0298,"5219534"
1098627472,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627473,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627474,"Pan troglodytes",-0.4244,30.0299,"5219534"
1098627475,"Pan troglodytes",-0.3066,30.0523,"5219534"
1098627476,"Pan troglodytes",-0.3632,30.0521,"5219534"
1098627477,"Pan troglodytes",-0.4632,30.0298,"5219534"
1098627478,"Pan troglodytes",-0.4632,30.0298,"5219534"
1098627479,"Pan troglodytes",-0.3829,30.0521,"5219534"
